"TeamA","TeamB","prob","rand","winA","nameA","nameB"
1455,1195,0.964,0.55456,1,"Wichita St","FL Gulf Coast"
1221,1195,0.848,0.75435,1,"Holy Cross","FL Gulf Coast"
1276,1195,1,0.7844,1,"Michigan","FL Gulf Coast"
1114,1195,0.004,0.94584,0,"Ark Little Rock","FL Gulf Coast"
1139,1195,1,0.94715,1,"Butler","FL Gulf Coast"
1163,1195,1,0.03623,1,"Connecticut","FL Gulf Coast"
1181,1195,1,0.37853,1,"Duke","FL Gulf Coast"
1211,1195,1,0.52458,1,"Gonzaga","FL Gulf Coast"
1231,1195,1,0.38177,1,"Indiana","FL Gulf Coast"
1235,1195,0.868,0.38661,1,"Iowa St","FL Gulf Coast"
1242,1195,1,0.05979,1,"Kansas","FL Gulf Coast"
1246,1195,1,0.24685,1,"Kentucky","FL Gulf Coast"
1274,1195,1,0.65234,1,"Miami FL","FL Gulf Coast"
1314,1195,1,0.60309,1,"North Carolina","FL Gulf Coast"
1344,1195,1,0.12941,1,"Providence","FL Gulf Coast"
1428,1195,1,0.1868,1,"Utah","FL Gulf Coast"
1438,1195,1,0.74127,1,"Virginia","FL Gulf Coast"
1463,1195,0.307,0.60004,0,"Yale","FL Gulf Coast"
1218,1195,0.913,0.02551,1,"Hawaii","FL Gulf Coast"
1234,1195,1,0.77096,1,"Iowa","FL Gulf Coast"
1268,1195,1,0.15847,1,"Maryland","FL Gulf Coast"
1292,1195,0.002,0.38272,0,"MTSU","FL Gulf Coast"
1320,1195,0.586,0.45245,1,"Northern Iowa","FL Gulf Coast"
1323,1195,1,0.44651,1,"Notre Dame","FL Gulf Coast"
1328,1195,1,0.23084,1,"Oklahoma","FL Gulf Coast"
1332,1195,1,0.16051,1,"Oregon","FL Gulf Coast"
1372,1195,0.032,0.01631,1,"SF Austin","FL Gulf Coast"
1386,1195,1,0.59498,1,"St Joseph's PA","FL Gulf Coast"
1393,1195,0.768,0.53547,1,"Syracuse","FL Gulf Coast"
1401,1195,1,0.37732,1,"Texas A&M","FL Gulf Coast"
1433,1195,1,0.54854,1,"VA Commonwealth","FL Gulf Coast"
1437,1195,1,0.62088,1,"Villanova","FL Gulf Coast"
1458,1195,0.977,0.63997,1,"Wisconsin","FL Gulf Coast"
1462,1195,1,0.19798,1,"Xavier","FL Gulf Coast"
1192,1195,1,0.51444,1,"F Dickinson","FL Gulf Coast"
1435,1195,1,0.74908,1,"Vanderbilt","FL Gulf Coast"
1380,1195,0.901,0.24924,1,"Southern Univ","FL Gulf Coast"
1409,1195,0.978,0.06905,1,"Tulsa","FL Gulf Coast"
1345,1195,1,0.01301,1,"Purdue","FL Gulf Coast"
1403,1195,0.962,0.63125,1,"Texas Tech","FL Gulf Coast"
1160,1195,0.924,0.401,1,"Colorado","FL Gulf Coast"
1423,1195,1,0.14798,1,"UNC Wilmington","FL Gulf Coast"
1371,1195,1,0.82351,1,"Seton Hall","FL Gulf Coast"
1151,1195,0.959,0.49498,1,"Chattanooga","FL Gulf Coast"
1233,1195,1,0.31914,1,"Iona","FL Gulf Coast"
1122,1195,1,0.38863,1,"Austin Peay","FL Gulf Coast"
1392,1195,0.626,0.51504,1,"Stony Brook","FL Gulf Coast"
1138,1195,1,0.85833,1,"Buffalo","FL Gulf Coast"
1425,1195,1,0.88921,1,"USC","FL Gulf Coast"
1201,1195,1,0.96348,1,"Fresno St","FL Gulf Coast"
1214,1195,0.915,0.54671,1,"Hampton","FL Gulf Coast"
1112,1195,1,0.68919,1,"Arizona","FL Gulf Coast"
1124,1195,1,0.64633,1,"Baylor","FL Gulf Coast"
1143,1195,1,0.26713,1,"California","FL Gulf Coast"
1396,1195,0.004,0.07625,0,"Temple","FL Gulf Coast"
1355,1195,0.915,0.96841,0,"S Dakota St","FL Gulf Coast"
1277,1195,1,0.30912,1,"Michigan St","FL Gulf Coast"
1400,1195,0.927,0.01454,1,"Texas","FL Gulf Coast"
1167,1195,0.411,0.31851,1,"CS Bakersfield","FL Gulf Coast"
1452,1195,1,0.44467,1,"West Virginia","FL Gulf Coast"
1153,1195,1,0.92234,1,"Cincinnati","FL Gulf Coast"
1173,1195,1,0.60975,1,"Dayton","FL Gulf Coast"
1453,1195,1,0.02929,1,"WI Green Bay","FL Gulf Coast"
1333,1195,0.862,0.95439,0,"Oregon St","FL Gulf Coast"
