"TeamA","TeamB","rand","nameA","nameB"
1382,1347,0.19422,"St Bonaventure","Radford"
1393,1347,0.00927,"Syracuse","Radford"
1411,1347,0.25843,"TX Southern","Radford"
1104,1347,0.29411,"Alabama","Radford"
1138,1347,0.48452,"Buffalo","Radford"
1181,1347,0.09076,"Duke","Radford"
1196,1347,0.97427,"Florida","Radford"
1211,1347,0.39293,"Gonzaga","Radford"
1222,1347,0.22691,"Houston","Radford"
1242,1347,0.00936,"Kansas","Radford"
1246,1347,0.22666,"Kentucky","Radford"
1260,1347,0.89781,"Loyola-Chicago","Radford"
1276,1347,0.94484,"Michigan","Radford"
1326,1347,0.41837,"Ohio St","Radford"
1348,1347,0.77063,"Rhode Island","Radford"
1371,1347,0.57436,"Seton Hall","Radford"
1397,1347,0.36598,"Tennessee","Radford"
1403,1347,0.56015,"Texas Tech","Radford"
1437,1347,0.53317,"Villanova","Radford"
1120,1347,0.10783,"Auburn","Radford"
1139,1347,0.84484,"Butler","Radford"
1153,1347,0.64174,"Cincinnati","Radford"
1155,1347,0.39218,"Clemson","Radford"
1199,1347,0.38475,"Florida St","Radford"
1243,1347,0.84095,"Kansas St","Radford"
1267,1347,0.5911,"Marshall","Radford"
1277,1347,0.67023,"Michigan St","Radford"
1305,1347,0.58788,"Nevada","Radford"
1314,1347,0.30472,"North Carolina","Radford"
1345,1347,0.68251,"Purdue","Radford"
1401,1347,0.55343,"Texas A&M","Radford"
1420,1347,0.26552,"UMBC","Radford"
1452,1347,0.66467,"West Virginia","Radford"
1462,1347,0.31739,"Xavier","Radford"
1254,1347,0.95789,"Long Island","Radford"
1417,1347,0.67368,"UCLA","Radford"
1113,1347,0.15122,"Arizona St","Radford"
1300,1347,0.43544,"NC Central","Radford"
1439,1347,0.2491,"Virginia Tech","Radford"
1112,1347,0.46573,"Arizona","Radford"
1233,1347,0.99491,"Iona","Radford"
1422,1347,0.78436,"UNC Greensboro","Radford"
1361,1347,0.33122,"San Diego St","Radford"
1335,1347,0.96027,"Penn","Radford"
1172,1347,0.77785,"Davidson","Radford"
1274,1347,0.90714,"Miami FL","Radford"
1285,1347,0.11093,"Montana","Radford"
1355,1347,0.87047,"S Dakota St","Radford"
1328,1347,0.57334,"Oklahoma","Radford"
1301,1347,0.90189,"NC State","Radford"
1460,1347,0.1459,"Wright St","Radford"
1372,1347,0.32864,"SF Austin","Radford"
1158,1347,0.86265,"Col Charleston","Radford"
1116,1347,0.18014,"Arkansas","Radford"
1209,1347,0.18511,"Georgia St","Radford"
1308,1347,0.55866,"New Mexico St","Radford"
1281,1347,0.59609,"Missouri","Radford"
1166,1347,0.06836,"Creighton","Radford"
1455,1347,0.50797,"Wichita St","Radford"
1137,1347,0.87079,"Bucknell","Radford"
1400,1347,0.76687,"Texas","Radford"
1252,1347,0.38473,"Lipscomb","Radford"
1168,1347,0.57908,"CS Fullerton","Radford"
1395,1347,0.27128,"TCU","Radford"
1344,1347,0.91734,"Providence","Radford"
1438,1347,0.05588,"Virginia","Radford"
1293,1347,0.14171,"Murray St","Radford"
1347,1382,0.758,"Radford","St Bonaventure"
1393,1382,0.33209,"Syracuse","St Bonaventure"
1411,1382,0.21969,"TX Southern","St Bonaventure"
1104,1382,0.72081,"Alabama","St Bonaventure"
1138,1382,0.38002,"Buffalo","St Bonaventure"
1181,1382,0.11949,"Duke","St Bonaventure"
1196,1382,0.29633,"Florida","St Bonaventure"
1211,1382,0.33899,"Gonzaga","St Bonaventure"
1222,1382,0.16775,"Houston","St Bonaventure"
1242,1382,0.16409,"Kansas","St Bonaventure"
1246,1382,0.35265,"Kentucky","St Bonaventure"
1260,1382,0.89086,"Loyola-Chicago","St Bonaventure"
1276,1382,0.97795,"Michigan","St Bonaventure"
1326,1382,0.22251,"Ohio St","St Bonaventure"
1348,1382,0.74822,"Rhode Island","St Bonaventure"
1371,1382,0.39334,"Seton Hall","St Bonaventure"
1397,1382,0.75994,"Tennessee","St Bonaventure"
1403,1382,0.83217,"Texas Tech","St Bonaventure"
1437,1382,0.39108,"Villanova","St Bonaventure"
1120,1382,0.30758,"Auburn","St Bonaventure"
1139,1382,0.10253,"Butler","St Bonaventure"
1153,1382,0.68693,"Cincinnati","St Bonaventure"
1155,1382,0.3512,"Clemson","St Bonaventure"
1199,1382,0.42022,"Florida St","St Bonaventure"
1243,1382,0.5966,"Kansas St","St Bonaventure"
1267,1382,0.44437,"Marshall","St Bonaventure"
1277,1382,0.00064,"Michigan St","St Bonaventure"
1305,1382,0.3592,"Nevada","St Bonaventure"
1314,1382,0.31423,"North Carolina","St Bonaventure"
1345,1382,0.78762,"Purdue","St Bonaventure"
1401,1382,0.45072,"Texas A&M","St Bonaventure"
1420,1382,0.75855,"UMBC","St Bonaventure"
1452,1382,0.27193,"West Virginia","St Bonaventure"
1462,1382,0.54087,"Xavier","St Bonaventure"
1254,1382,0.2834,"Long Island","St Bonaventure"
1417,1382,0.44315,"UCLA","St Bonaventure"
1113,1382,0.5404,"Arizona St","St Bonaventure"
1300,1382,0.31459,"NC Central","St Bonaventure"
1439,1382,0.86333,"Virginia Tech","St Bonaventure"
1112,1382,0.95816,"Arizona","St Bonaventure"
1233,1382,0.14973,"Iona","St Bonaventure"
1422,1382,0.46879,"UNC Greensboro","St Bonaventure"
1361,1382,0.92218,"San Diego St","St Bonaventure"
1335,1382,0.9769,"Penn","St Bonaventure"
1172,1382,0.07546,"Davidson","St Bonaventure"
1274,1382,0.85111,"Miami FL","St Bonaventure"
1285,1382,0.26048,"Montana","St Bonaventure"
1355,1382,0.07539,"S Dakota St","St Bonaventure"
1328,1382,0.73298,"Oklahoma","St Bonaventure"
1301,1382,0.82294,"NC State","St Bonaventure"
1460,1382,0.39412,"Wright St","St Bonaventure"
1372,1382,0.97232,"SF Austin","St Bonaventure"
1158,1382,0.45918,"Col Charleston","St Bonaventure"
1116,1382,0.3184,"Arkansas","St Bonaventure"
1209,1382,0.15651,"Georgia St","St Bonaventure"
1308,1382,0.93009,"New Mexico St","St Bonaventure"
1281,1382,0.20036,"Missouri","St Bonaventure"
1166,1382,0.17507,"Creighton","St Bonaventure"
1455,1382,0.38635,"Wichita St","St Bonaventure"
1137,1382,0.30947,"Bucknell","St Bonaventure"
1400,1382,0.11844,"Texas","St Bonaventure"
1252,1382,0.09889,"Lipscomb","St Bonaventure"
1168,1382,0.95845,"CS Fullerton","St Bonaventure"
1395,1382,0.93555,"TCU","St Bonaventure"
1344,1382,0.76956,"Providence","St Bonaventure"
1438,1382,0.58467,"Virginia","St Bonaventure"
1293,1382,0.15634,"Murray St","St Bonaventure"
1347,1393,0.79845,"Radford","Syracuse"
1382,1393,0.40279,"St Bonaventure","Syracuse"
1411,1393,0.82727,"TX Southern","Syracuse"
1104,1393,0.77392,"Alabama","Syracuse"
1138,1393,0.60294,"Buffalo","Syracuse"
1181,1393,0.13662,"Duke","Syracuse"
1196,1393,0.06712,"Florida","Syracuse"
1211,1393,0.1114,"Gonzaga","Syracuse"
1222,1393,0.25032,"Houston","Syracuse"
1242,1393,0.18006,"Kansas","Syracuse"
1246,1393,0.74532,"Kentucky","Syracuse"
1260,1393,0.4278,"Loyola-Chicago","Syracuse"
1276,1393,0.23299,"Michigan","Syracuse"
1326,1393,0.28641,"Ohio St","Syracuse"
1348,1393,0.81085,"Rhode Island","Syracuse"
1371,1393,0.14361,"Seton Hall","Syracuse"
1397,1393,0.43062,"Tennessee","Syracuse"
1403,1393,0.87572,"Texas Tech","Syracuse"
1437,1393,0.64048,"Villanova","Syracuse"
1120,1393,0.6104,"Auburn","Syracuse"
1139,1393,0.37796,"Butler","Syracuse"
