"","GameID","Season","variable","value"
"1",1,2009,"FGM",0
"2",1,2009,"FGA",-8
"3",1,2009,"FGM3",2
"4",1,2009,"FGA3",0
"5",1,2009,"FTM",13
"6",1,2009,"OR",7
"7",1,2009,"DR",16
"8",1,2009,"Ast",9
"9",1,2009,"TO",8
"10",1,2009,"Stl",-1
"11",1,2009,"Blk",-4
"12",1,2009,"PF",-4
"13",2,2009,"FGM",20
"14",2,2009,"FGA",5
"15",2,2009,"FGM3",1
"16",2,2009,"FGA3",-1
"17",2,2009,"FTM",15
"18",2,2009,"OR",8
"19",2,2009,"DR",16
"20",2,2009,"Ast",17
"21",2,2009,"TO",-9
"22",2,2009,"Stl",7
"23",2,2009,"Blk",4
"24",2,2009,"PF",-16
"25",3,2009,"FGM",1
"26",3,2009,"FGA",6
"27",3,2009,"FGM3",2
"28",3,2009,"FGA3",5
"29",3,2009,"FTM",20
"30",3,2009,"OR",11
"31",3,2009,"DR",7
"32",3,2009,"Ast",12
"33",3,2009,"TO",-3
"34",3,2009,"Stl",-3
"35",3,2009,"Blk",-1
"36",3,2009,"PF",-7
"37",4,2009,"FGM",2
"38",4,2009,"FGA",-13
"39",4,2009,"FGM3",-5
"40",4,2009,"FGA3",-8
"41",4,2009,"FTM",14
"42",4,2009,"OR",-4
"43",4,2009,"DR",12
"44",4,2009,"Ast",0
"45",4,2009,"TO",0
"46",4,2009,"Stl",5
"47",4,2009,"Blk",4
"48",4,2009,"PF",-5
"49",5,2009,"FGM",5
"50",5,2009,"FGA",3
"51",5,2009,"FGM3",-2
"52",5,2009,"FGA3",-9
"53",5,2009,"FTM",-4
"54",5,2009,"OR",-4
"55",5,2009,"DR",0
"56",5,2009,"Ast",2
"57",5,2009,"TO",-4
"58",5,2009,"Stl",8
"59",5,2009,"Blk",7
"60",5,2009,"PF",0
"61",6,2009,"FGM",6
"62",6,2009,"FGA",4
"63",6,2009,"FGM3",-1
"64",6,2009,"FGA3",-8
"65",6,2009,"FTM",2
"66",6,2009,"OR",2
"67",6,2009,"DR",-1
"68",6,2009,"Ast",6
"69",6,2009,"TO",-5
"70",6,2009,"Stl",3
"71",6,2009,"Blk",-1
"72",6,2009,"PF",-5
"73",7,2009,"FGM",5
"74",7,2009,"FGA",5
"75",7,2009,"FGM3",4
"76",7,2009,"FGA3",10
"77",7,2009,"FTM",-3
"78",7,2009,"OR",2
"79",7,2009,"DR",1
"80",7,2009,"Ast",9
"81",7,2009,"TO",-3
"82",7,2009,"Stl",6
"83",7,2009,"Blk",1
"84",7,2009,"PF",-2
"85",8,2009,"FGM",-1
"86",8,2009,"FGA",-14
"87",8,2009,"FGM3",5
"88",8,2009,"FGA3",4
"89",8,2009,"FTM",0
"90",8,2009,"OR",-12
"91",8,2009,"DR",1
"92",8,2009,"Ast",2
"93",8,2009,"TO",3
"94",8,2009,"Stl",-3
"95",8,2009,"Blk",-4
"96",8,2009,"PF",-8
"97",9,2009,"FGM",16
"98",9,2009,"FGA",4
"99",9,2009,"FGM3",0
"100",9,2009,"FGA3",-3
"101",9,2009,"FTM",11
"102",9,2009,"OR",0
"103",9,2009,"DR",11
